Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10uF,
"C10, C11, C13, C3, C6, C7, C8, C9",0402,8,100nf,
"C12, C14, C15, C16",0402,4,4.7uF,
"C4, C5",0402,2,15pF,
D1,0402,1,LED,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
"J2, J3",PinHeader_1x02_P1.27mm_Vertical,2,Conn_01x02_Pin,
L1,0805,1,3.3uH,
"R3, R6, R7",0402,3,1kohms,
"R4, R5",0402,2,27 ohms,
R8,0402,1,33ohms,
R9,0402,1,220 ohms,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
Y1,ABM8272T3,1,ABM8-272-T3,
